drug_name,tested_both_sexes,species_unique,strain_unique,assay_unique,country_unique,articles_total,articles_blinding,articles_randomization,articles_welfare,target
acquired aneurysmal subarachnoid hemorrhage <> alteplase,1,2,0,1,2,2,1,0,1,0
acquired aneurysmal subarachnoid hemorrhage <> dexmedetomidine,1,3,0,5,2,2,1,1,2,0
acquired aneurysmal subarachnoid hemorrhage <> minocycline,0,2,2,2,1,1,1,0,1,0
"acquired aneurysmal subarachnoid hemorrhage <> oxide, nitric",0,2,2,2,1,2,1,1,1,0
acquired polycythemia vera <> dasatinib,0,1,3,1,1,1,0,0,0,0
acquired polycythemia vera <> erlotinib,0,0,0,1,1,1,0,0,0,0
acquired polycythemia vera <> hsp90 inhibitor,0,0,0,1,1,1,0,0,0,0
acquired polycythemia vera <> imatinib,0,1,3,1,1,2,0,0,0,0
acquired polycythemia vera <> jak2 inhibitor,0,1,3,1,1,1,0,0,0,0
acquired polycythemia vera <> tg101348,0,1,3,3,1,2,0,0,2,0
acromegaly <> pituitary growth hormone,0,1,1,2,1,1,0,0,1,0
acute spinal cord injury <> minocycline,0,1,1,1,1,1,0,1,1,0
acute spinal cord injury <> riluzole,0,1,1,2,1,1,0,0,1,0
acute stress disorder <> lithium,0,1,1,2,1,1,0,0,0,0
adrenal gland hyperfunction <> esmolol,1,1,1,1,1,1,0,0,1,0
adrenal gland hyperfunction <> spironolactone,0,1,2,2,2,2,1,0,1,0
aggression <> arbaclofen,1,1,2,3,1,2,0,0,2,0
aids dementia complex <> efavirenz,0,2,0,2,2,2,0,0,1,0
aids dementia complex <> memantine,0,1,1,1,2,2,0,0,0,0
aids dementia complex <> minocycline,0,1,0,2,1,1,1,0,1,0
alcohol abuse <> 5-ht3 receptor antagonist,0,1,1,1,1,1,1,1,1,0
alcohol abuse <> apomorphine,0,2,3,4,2,3,1,0,1,0
alcohol abuse <> aprepitant,0,3,1,2,1,1,0,0,0,0
alcohol abuse <> buprenorphine,0,1,0,2,1,1,0,0,1,0
alcohol abuse <> caffeine,0,2,3,2,2,2,0,0,1,0
alcohol abuse <> cannabinoid,1,2,4,4,4,6,0,3,5,0
alcohol abuse <> corticotropin-releasing hormone,0,1,0,2,2,2,0,0,1,0
alcohol abuse <> desipramine,1,2,6,4,2,4,1,4,4,0
alcohol abuse <> doxazosin,1,2,2,3,2,3,0,1,3,0
alcohol abuse <> duloxetine,0,1,1,2,1,1,0,0,1,0
alcohol abuse <> gamma-aminobutyrate,0,1,2,1,1,1,0,0,1,0
alcohol abuse <> gamma-aminobutyric acid,0,1,2,1,1,1,0,0,1,0
alcohol abuse <> ghrelin,0,2,10,3,2,9,1,2,9,0
alcohol abuse <> glutathione,0,1,1,1,1,1,0,0,1,0
alcohol abuse <> guanfacine,0,1,3,1,2,3,0,1,2,0
alcohol abuse <> ibudilast,1,1,0,1,1,1,0,0,0,0
alcohol abuse <> inverse agonist,0,1,1,1,1,1,0,0,0,0
alcohol abuse <> ivermectin,1,2,2,3,1,4,0,0,4,0
alcohol abuse <> metyrapone,0,1,1,2,1,1,0,1,0,0
alcohol abuse <> mifepristone,1,2,4,4,1,5,1,1,3,0
alcohol abuse <> n methylaspartate,0,1,1,2,1,1,1,0,1,0
alcohol abuse <> opiate antagonist,0,1,1,1,1,1,0,0,1,0
alcohol abuse <> opioid,0,1,1,1,1,2,0,0,2,0
alcohol abuse <> pioglitazone,1,2,2,3,2,6,1,0,6,0
alcohol abuse <> propranolol,0,1,2,2,4,7,1,1,7,0
alcohol abuse <> psilocybin,1,2,1,2,1,2,0,1,2,0
alcohol abuse <> ssris,0,1,1,1,1,1,1,0,1,0
alcohol abuse <> tolcapone,1,1,1,1,2,2,0,1,1,0
alcohol abuse <> varenicline tartrate,0,1,1,2,1,1,0,1,1,0
alcohol abuse <> yohimbine,0,1,1,1,1,2,0,1,2,0
alcohol abuse <> zinc,0,2,2,2,1,2,0,0,2,0
alcohol-related disorders <> ethanol,1,2,4,4,4,7,4,3,6,0
"allodynia <> 2 inhibitor, cyclooxygenase",1,1,2,1,2,2,0,1,2,0
allodynia <> capsaicin,0,1,1,1,1,1,0,0,1,0
alzheimer disease <> (18f)t807 compound,0,1,0,4,1,1,0,1,1,0
alzheimer disease <> (methyl-(11)c)n-acetyl-n-(2-methoxybenzyl)-2-phenoxy-5-pyridinamine,1,1,1,4,1,1,0,0,1,0
alzheimer disease <> 18f-av-45,1,2,2,3,1,1,0,0,1,0
"alzheimer disease <> 3 inhibitor, phosphodiesterase",1,3,20,5,12,37,12,17,30,0
alzheimer disease <> 7-beta-hydroxyepiandrosterone,0,1,1,1,1,1,0,0,0,0
alzheimer disease <> abt 089,0,1,0,1,1,1,0,0,1,0
alzheimer disease <> acetylcholine,0,3,2,2,2,3,0,0,1,0
alzheimer disease <> acetylcholine esterase inhibitor,0,1,0,2,1,1,0,0,1,0
alzheimer disease <> acetylcholinesterase,1,2,5,3,4,7,1,2,4,0
alzheimer disease <> acitretin,0,1,0,0,1,1,0,0,0,0
alzheimer disease <> acyclovir,0,1,1,1,1,1,1,0,0,0
alzheimer disease <> adenosine triphosphate,1,2,2,2,2,3,0,0,1,0
alzheimer disease <> angiotensin converting enzyme inhibitor,0,1,1,3,2,3,0,2,3,0
alzheimer disease <> angiotensin receptor blocker,0,1,1,3,2,2,0,0,1,0
alzheimer disease <> anticonvulsants,1,1,1,2,1,1,1,0,0,0
alzheimer disease <> antipsychotics,0,0,0,0,1,1,1,1,0,0
alzheimer disease <> arginine,1,2,2,2,3,4,0,1,4,0
alzheimer disease <> aspirin,0,1,3,2,4,5,0,1,0,0
alzheimer disease <> azd 2184,0,2,1,2,1,1,0,0,1,0
alzheimer disease <> azd-103,1,1,1,1,1,1,0,0,1,0
alzheimer disease <> azd3293,1,4,3,3,1,1,0,0,1,0
alzheimer disease <> baclofen,0,3,3,2,3,3,0,0,0,0
alzheimer disease <> ban2401,1,1,1,2,1,1,1,0,1,0
alzheimer disease <> beta-nerve growth factor,1,2,1,2,1,1,0,0,0,0
alzheimer disease <> bexarotene,1,1,6,5,4,7,2,0,6,0
"alzheimer disease <> blue, methylene",1,2,8,5,7,14,6,2,12,0
alzheimer disease <> bms 708163,0,3,0,1,1,1,0,0,0,0
alzheimer disease <> bryostatin,1,2,2,3,2,3,1,2,2,0
alzheimer disease <> bryostatin 1,1,2,2,3,2,3,1,2,2,0
alzheimer disease <> butyrylcholinesterase,1,2,0,3,3,4,0,0,2,0
alzheimer disease <> caffeine,1,3,14,5,14,35,7,12,28,0
alzheimer disease <> chf 5074,1,1,1,4,1,3,1,0,1,0
"alzheimer disease <> colony-stimulating factor, granulocyte-macrophage",1,2,8,4,2,9,4,5,6,0
alzheimer disease <> copper,1,2,2,3,2,5,0,1,2,0
alzheimer disease <> curcumin,0,0,0,1,1,1,0,0,0,0
alzheimer disease <> diltiazem,1,1,0,1,1,1,0,0,1,0
alzheimer disease <> dronabinol,0,2,5,4,3,8,2,2,4,0
alzheimer disease <> endogenous antioxidants,1,3,7,5,11,27,3,4,15,0
alzheimer disease <> equol,1,1,2,1,1,1,0,1,1,0
alzheimer disease <> etanercept,1,2,2,4,5,5,2,0,5,0
alzheimer disease <> etazolate,0,1,2,1,1,1,0,0,0,0
alzheimer disease <> evp-0015962,1,1,4,3,1,1,0,0,0,0
alzheimer disease <> evp-6124,0,1,1,3,1,1,0,0,0,0
alzheimer disease <> exenatide,1,2,2,2,1,4,1,0,1,0
alzheimer disease <> gamma-secretase inhibitor,1,1,3,4,1,4,0,0,3,0
alzheimer disease <> granulocyte colony stimulating factor,0,1,4,4,2,2,1,0,1,0
alzheimer disease <> gsk3 inhibitor,0,0,1,3,1,1,0,0,0,0
alzheimer disease <> gts-21,1,3,3,2,2,5,1,0,1,0
alzheimer disease <> h3 receptor antagonist,1,2,6,4,2,3,1,2,2,0
alzheimer disease <> huperzinine,0,1,1,1,1,1,0,1,1,0
alzheimer disease <> isoflavones,0,0,0,2,1,2,0,0,0,0
alzheimer disease <> isoflurane,1,2,4,4,2,7,2,3,5,0
alzheimer disease <> isotretinoin,1,2,1,1,2,2,0,0,1,0
alzheimer disease <> ladostigil,1,1,2,4,2,5,1,3,4,0
alzheimer disease <> lamotrigine,1,1,1,2,1,1,1,0,0,0
alzheimer disease <> magnesium l-threonate,1,1,1,4,0,1,1,1,1,0
alzheimer disease <> mecamylamine,1,5,13,5,10,29,1,4,14,0
alzheimer disease <> methylergonovine,0,1,1,0,1,1,0,1,1,0
alzheimer disease <> midazolam,0,1,2,3,3,3,0,0,1,0
alzheimer disease <> mifepristone,1,3,2,3,4,4,0,1,1,0
alzheimer disease <> minocycline,1,2,10,4,9,15,2,3,11,0
alzheimer disease <> n methylaspartate,0,2,4,3,6,9,1,1,5,0
alzheimer disease <> nefiracetam,1,2,2,2,2,2,0,1,1,0
alzheimer disease <> nerve growth factor,1,3,6,5,9,27,2,5,9,0
alzheimer disease <> niacin,1,1,1,2,1,1,1,1,1,0
alzheimer disease <> niacinamide,1,3,10,5,5,15,0,3,13,0
alzheimer disease <> nicotinic acid,1,3,7,4,7,9,0,2,5,0
alzheimer disease <> nicotinic agonist,1,2,2,4,2,4,2,1,1,0
alzheimer disease <> nicotinic antagonist,1,1,1,3,2,3,0,0,1,0
alzheimer disease <> np 031112,0,1,0,4,1,1,1,1,0,0
alzheimer disease <> pbt2,1,1,3,4,1,3,1,1,2,0
alzheimer disease <> perindopril,1,2,5,3,2,5,0,3,3,0
alzheimer disease <> physostigmine,1,5,22,5,15,56,7,8,24,0
alzheimer disease <> pimavanserin,0,1,1,3,1,1,0,0,1,0
alzheimer disease <> pioglitazone,1,2,10,5,12,31,9,12,27,0
alzheimer disease <> piroxicam,0,1,2,3,2,2,0,1,1,0
alzheimer disease <> polyunsaturated fatty acids,0,1,0,0,1,1,0,0,0,0
"alzheimer disease <> pregnanolone, (3beta, 5alpha)-isomer",1,3,6,5,4,12,4,7,11,0
alzheimer disease <> propofol,1,2,3,4,5,11,3,6,10,0
alzheimer disease <> quinolizidines,0,2,4,2,1,1,0,0,1,0
alzheimer disease <> rasagiline,0,2,2,3,3,6,0,0,2,0
alzheimer disease <> riluzole,1,2,5,4,4,9,4,2,8,0
alzheimer disease <> roflumilast,0,2,2,3,3,4,1,2,4,0
alzheimer disease <> rolipram,1,2,7,5,4,9,1,1,7,0
alzheimer disease <> rxr agonist,0,1,2,1,2,2,1,0,1,0
alzheimer disease <> sargramostim,0,1,2,2,1,1,0,0,1,0
alzheimer disease <> scopolamine,1,4,17,5,14,38,12,9,30,0
alzheimer disease <> selegiline,0,3,5,4,6,11,4,0,10,0
alzheimer disease <> sildenafil,1,2,2,3,3,3,0,1,2,0
alzheimer disease <> t-817ma,1,2,4,2,1,3,1,0,3,0
alzheimer disease <> talsaclidine,0,1,2,1,1,2,0,0,0,0
alzheimer disease <> tamibarotene,0,2,1,2,1,2,0,0,1,0
alzheimer disease <> telmisartan,0,2,4,4,3,6,0,1,4,0
alzheimer disease <> tetracyclines,0,2,2,3,5,5,1,0,4,0
alzheimer disease <> thalidomide,1,2,6,4,5,9,3,1,7,0
alzheimer disease <> thioctic acid,1,4,7,5,8,18,2,5,13,0
alzheimer disease <> thioridazine,0,1,1,2,1,1,0,1,1,0
alzheimer disease <> threonate,1,1,1,4,0,1,1,1,1,0
alzheimer disease <> tideglusib,0,1,2,2,1,1,0,0,1,0
alzheimer disease <> tramiprosate,1,3,5,5,3,3,2,1,3,0
"alzheimer disease <> triglycerides, medium-chain",0,2,1,2,2,2,0,1,2,0
alzheimer disease <> ubidecarenone,1,2,13,5,11,21,1,9,19,0
alzheimer disease <> verapamil,1,2,5,5,6,9,0,1,7,0
alzheimer disease <> vita omega,0,1,3,2,1,1,0,1,1,0
alzheimer disease <> vitamin d,1,2,11,5,13,14,5,5,11,0
amnestic disorder <> propofol,0,2,2,4,3,4,1,1,4,0
amphetamine abuse <> bupropion,0,0,0,0,1,1,0,0,0,0
amphetamine abuse <> bupropion hydrochloride,0,0,0,0,1,1,0,0,0,0
amyotrophic lateral sclerosis <> 1-(5-isoquinolinesulfonyl)-2-methylpiperazine,1,2,4,4,4,5,3,1,5,0
"amyotrophic lateral sclerosis <> acetate, glatiramer",1,1,4,3,1,1,1,0,1,0
"amyotrophic lateral sclerosis <> agents, iron chelating",0,1,1,0,1,1,0,0,0,0
"amyotrophic lateral sclerosis <> carbonate, lithium",1,1,4,4,2,2,1,1,1,0
amyotrophic lateral sclerosis <> celecoxib,1,1,3,5,1,3,0,1,3,0
amyotrophic lateral sclerosis <> copaxone,1,1,4,3,1,1,1,0,1,0
amyotrophic lateral sclerosis <> copper,1,1,3,2,2,2,0,1,2,0
amyotrophic lateral sclerosis <> endocannabinoids,0,1,0,2,1,1,0,0,0,0
amyotrophic lateral sclerosis <> fasudil,1,1,1,4,2,2,2,1,2,0
amyotrophic lateral sclerosis <> glatiramer,1,1,4,3,1,1,1,0,1,0
amyotrophic lateral sclerosis <> growth factor,1,1,1,4,1,1,0,1,1,0
amyotrophic lateral sclerosis <> lithium,1,2,7,5,6,13,7,4,11,0
amyotrophic lateral sclerosis <> nerve growth factor,0,2,3,2,3,4,0,0,1,0
amyotrophic lateral sclerosis <> phenylbutyrate,1,1,4,3,3,5,1,2,4,0
amyotrophic lateral sclerosis <> phenylbutyrate sodium,1,1,1,3,1,1,1,1,1,0
amyotrophic lateral sclerosis <> pioglitazone,1,1,3,3,2,2,0,1,2,0
amyotrophic lateral sclerosis <> rasagiline,0,2,1,2,2,2,1,0,1,0
amyotrophic lateral sclerosis <> serine,0,1,2,4,3,3,2,1,2,0
amyotrophic lateral sclerosis <> substance with interleukin 1 receptor antagonist mechanism of action,0,1,1,2,1,1,0,0,1,0
amyotrophic lateral sclerosis <> tacrolimus,1,3,1,4,2,5,0,1,3,0
amyotrophic lateral sclerosis <> zinc,0,1,1,3,2,2,1,0,1,0
anaphylaxis <> histamine,1,2,2,3,2,3,0,0,3,0
anaplastic meningioma <> temozolomide,1,1,0,3,1,1,0,0,1,0
anaplastic oligodendroglioma <> carboplatin,0,1,0,1,1,1,0,1,1,0
anaplastic oligodendroglioma <> carmustine,0,1,0,1,1,1,0,1,1,0
anhedonia <> nmda receptor antagonist,0,1,1,1,1,1,1,0,1,0
anorexia nervosa <> endogenous antioxidants,1,1,1,0,1,1,0,0,0,0
anorexia nervosa <> ghrelin,0,2,2,0,2,2,0,0,2,0
anxiety disorder <> (-)-pramipexole,0,2,6,2,5,5,2,0,4,0
anxiety disorder <> 1-(m-chlorophenyl)piperazine,0,2,6,5,4,13,7,5,10,0
"anxiety disorder <> 3 inhibitor, phosphodiesterase",1,1,2,2,2,2,0,0,2,0
anxiety disorder <> alpha-1 adrenergic antagonist,0,1,2,3,2,2,1,1,1,0
anxiety disorder <> amino acids,0,1,0,0,1,1,0,0,0,0
anxiety disorder <> amisulpride,0,1,1,1,1,1,0,0,0,0
anxiety disorder <> antidepressant drugs,0,1,1,2,1,1,1,1,1,0
anxiety disorder <> antiepileptic,0,1,0,1,1,1,0,0,0,0
anxiety disorder <> antipsychotic,1,1,1,2,1,1,0,1,1,0
anxiety disorder <> anxiolytics,0,2,2,2,2,3,1,0,2,0
anxiety disorder <> aticaprant,0,1,1,1,1,1,0,0,1,0
anxiety disorder <> azd7325,0,0,0,0,1,1,0,0,0,0
"anxiety disorder <> blue, methylene",0,2,2,3,2,2,0,0,1,0
anxiety disorder <> butyrophenone,1,1,0,3,1,1,1,0,0,0
anxiety disorder <> chromium picolinate,1,1,1,2,1,1,0,0,1,0
anxiety disorder <> clozapine,1,2,3,3,4,4,1,1,2,0
anxiety disorder <> corticotropin,0,2,2,4,2,3,0,0,1,0
anxiety disorder <> cycloserine,1,2,11,4,13,32,13,7,29,0
anxiety disorder <> elb 139,0,1,1,3,1,1,1,1,1,0
anxiety disorder <> endogenous antioxidants,1,2,5,3,3,4,3,2,4,0
anxiety disorder <> estradiol,1,3,9,4,14,49,15,24,42,0
anxiety disorder <> fenobam,0,0,0,1,1,1,0,0,0,0
anxiety disorder <> flibanserin,0,1,1,3,1,1,0,0,1,0
anxiety disorder <> flumazenil,1,2,12,5,12,30,6,9,13,0
anxiety disorder <> gamma-aminobutyrate,1,2,8,4,10,20,4,10,12,0
anxiety disorder <> gamma-aminobutyric acid,1,2,8,4,9,18,4,9,11,0
anxiety disorder <> ganaxolone,1,1,0,2,1,1,0,0,0,0
anxiety disorder <> glutamate,0,1,0,1,1,2,0,0,0,0
anxiety disorder <> hypnorm,1,1,0,3,1,1,1,0,0,0
anxiety disorder <> inositol,1,3,3,2,1,4,3,1,2,0
anxiety disorder <> lysergic acid diethylamide,1,1,2,3,2,4,1,1,4,0
anxiety disorder <> minocycline,0,2,3,5,2,3,2,2,3,0
"anxiety disorder <> n-methyl-3,4-methylenedioxyamphetamine",1,2,1,3,2,2,0,2,1,0
anxiety disorder <> nefazodone,0,1,1,1,1,1,0,0,0,0
anxiety disorder <> neuropeptide y,1,2,7,5,9,17,5,5,16,0
anxiety disorder <> phenobarbital,0,1,2,2,2,2,0,1,1,0
anxiety disorder <> prasterone,0,1,1,2,1,1,0,0,1,0
anxiety disorder <> pregnanolone,1,2,3,2,2,4,2,2,1,0
anxiety disorder <> psilocybin,0,1,1,2,1,1,0,0,1,0
anxiety disorder <> reboxetine,1,2,2,2,1,2,0,1,2,0
anxiety disorder <> scopolamine,0,2,3,3,2,3,1,0,2,0
anxiety disorder <> serotonin agents,1,2,6,3,5,10,3,6,8,0
anxiety disorder <> serotonin reuptake inhibitor,1,1,1,2,1,1,0,1,1,0
anxiety disorder <> ssr 149415,0,1,1,2,2,2,0,0,2,0
anxiety disorder <> testosterone,1,2,5,4,5,10,6,3,8,0
anxiety disorder <> triazolam,0,3,7,2,4,5,0,0,2,0
anxiety disorder <> valine,1,1,2,2,1,1,0,0,0,0
anxiety disorder <> vitamin d3,1,1,1,2,1,1,1,1,1,0
anxiety disorder <> yohimbine,1,3,20,4,11,29,11,9,22,0
anxiety disorder <> zinc,1,2,5,4,5,5,2,1,5,0
aphasia <> cholinesterase inhibitor,0,0,0,1,1,1,0,0,0,0
aphthous stomatitis <> betamethasone,0,0,0,2,1,1,0,0,0,0
"argininosuccinic aciduria <> oxide, nitric",0,1,0,3,1,1,0,1,0,0
asperger syndrome <> oxytocin,0,0,0,1,1,1,0,0,1,0
astrocytoma (excluding glioblastoma) <> carboplatin,0,1,0,1,1,1,0,1,1,0
"attention deficit hyperactivity disorder, inattentive type <> apomorphine",0,2,2,3,2,3,0,0,1,0
"attention deficit hyperactivity disorder, inattentive type <> citalopram",0,1,1,1,1,1,0,1,1,0
"attention deficit hyperactivity disorder, inattentive type <> lovastatin",0,1,3,2,1,1,1,0,1,0
"attention deficit hyperactivity disorder, inattentive type <> nicotine",1,3,2,3,3,5,0,2,2,0
"attention deficit hyperactivity disorder, inattentive type <> psychostimulants",0,2,3,4,2,4,2,1,4,0
"attention deficit hyperactivity disorder, inattentive type <> theanine",0,1,0,2,1,1,0,1,1,0
attention deficit-hyperactivity disorder <> abt 089,0,1,0,1,1,1,0,0,1,0
attention deficit-hyperactivity disorder <> alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid,0,1,0,1,1,1,0,0,1,0
attention deficit-hyperactivity disorder <> apomorphine,1,2,5,4,4,6,1,1,3,0
attention deficit-hyperactivity disorder <> caffeine,1,2,14,4,5,10,3,2,7,0
attention deficit-hyperactivity disorder <> citalopram,0,1,1,1,1,1,0,1,1,0
attention deficit-hyperactivity disorder <> lovastatin,0,1,3,2,1,1,1,0,1,0
attention deficit-hyperactivity disorder <> ly 139603,0,1,1,2,1,1,0,0,0,0
attention deficit-hyperactivity disorder <> nicotine,1,3,10,3,8,29,3,15,19,0
attention deficit-hyperactivity disorder <> non-stimulant,0,1,1,1,1,1,0,1,0,0
attention deficit-hyperactivity disorder <> pemoline,0,1,1,1,1,1,0,0,0,0
attention deficit-hyperactivity disorder <> psychostimulants,1,2,10,4,5,15,4,6,13,0
attention deficit-hyperactivity disorder <> reboxetine,1,2,8,4,4,8,2,3,6,0
attention deficit-hyperactivity disorder <> selective serotonin reuptake inhibitor,1,1,2,3,2,3,1,1,1,0
attention deficit-hyperactivity disorder <> theanine,0,1,0,2,1,1,0,1,1,0
"autism <> acid, docosahexaenoic",1,2,3,4,4,5,3,3,5,0
autism <> arbaclofen,1,1,5,3,1,2,1,1,2,0
autism <> argipressin,0,2,0,2,1,1,0,0,0,0
autism <> docosahexaenoate,1,2,3,4,4,5,3,3,5,0
autism <> donepezil,1,1,1,0,1,1,0,1,1,0
autism <> everolimus,1,2,4,4,1,3,2,0,3,0
autism <> leucovorin,1,1,3,2,1,1,0,0,1,0
autism <> luteolin,1,1,1,1,1,1,0,0,1,0
autism <> melatonin,1,2,4,4,4,5,1,1,5,0
autism <> memantine,1,3,6,4,4,7,5,5,7,0
autism <> rad 001,0,1,3,4,1,1,1,0,1,0
autism <> sirolimus,1,2,8,5,1,8,5,0,8,0
autism <> zinc,1,2,2,5,6,9,3,4,7,0
"autism spectrum disorder <> acid, docosahexaenoic",1,2,3,4,4,5,3,3,5,0
autism spectrum disorder <> arbaclofen,1,1,6,3,2,6,3,2,6,0
autism spectrum disorder <> argipressin,0,2,0,2,1,1,0,0,0,0
autism spectrum disorder <> baclofen,1,2,6,5,2,6,1,1,5,0
autism spectrum disorder <> citalopram,1,1,1,3,1,3,1,2,3,0
autism spectrum disorder <> docosahexaenoate,1,2,3,4,4,5,3,3,5,0
autism spectrum disorder <> donepezil,1,2,5,3,3,3,1,2,3,0
autism spectrum disorder <> everolimus,1,2,5,5,3,5,3,1,5,0
autism spectrum disorder <> insulin-like growth factor i,0,1,2,3,2,2,0,1,1,0
autism spectrum disorder <> luteolin,1,1,1,1,1,1,0,0,1,0
autism spectrum disorder <> rad 001,0,1,3,4,1,1,1,0,1,0
autism spectrum disorder <> sirolimus,1,2,8,5,2,11,7,0,11,0
autism spectrum disorder <> zinc,1,2,3,5,7,11,3,4,8,0
autoimmune inner ear disease <> tumor necrosis factor alpha inhibitor,1,1,2,2,1,1,0,1,1,0
autonomic nervous system disorder <> alprazolam,0,1,1,1,1,1,0,0,0,0
becker muscular dystrophy <> arginine,0,1,1,1,1,1,0,0,0,0
behcet disease <> colchicine,1,1,2,1,2,5,0,0,4,0
bell's palsy <> acyclovir,1,1,1,1,1,1,0,0,1,0
bethlem myopathy <> cyclosporine,0,1,1,1,2,2,0,1,1,0
binge eating disorder <> methylphenidate,0,1,1,1,1,1,0,0,1,0
binge eating disorder <> naloxone,0,1,1,1,1,1,0,0,0,0
"bipolar disorder <> acid, docosahexaenoic",1,2,1,3,1,3,1,1,0,0
bipolar disorder <> antipsychotic drugs,0,1,1,1,1,1,0,0,0,0
bipolar disorder <> cannabidiol,0,1,1,1,1,1,1,0,1,0
bipolar disorder <> cannabinoid,0,1,1,3,1,1,0,0,1,0
bipolar disorder <> docosahexaenoate,1,2,1,3,1,3,1,1,0,0
bipolar disorder <> erythropoietin,0,1,2,4,2,2,2,2,2,0
bipolar disorder <> felbamate,1,1,1,2,1,1,1,0,0,0
bipolar disorder <> methamphetamine,0,1,1,1,1,1,0,0,1,0
bipolar disorder <> prazosin,1,1,1,2,1,1,0,0,1,0
bipolar disorder <> serotonin agents,0,1,0,0,1,1,0,0,0,0
botulism <> botulinum toxin,1,2,7,4,3,7,0,1,5,0
brain aneurysm <> doxycycline,1,1,1,1,1,1,1,1,1,0
brain cancer <> acetylcysteine,0,0,0,2,1,1,0,0,0,0
brain cancer <> aldesleukin,0,1,1,1,1,1,0,1,0,0
brain cancer <> carboplatin,1,2,1,3,3,4,0,0,2,0
brain cancer <> cisplatin,0,0,0,2,1,1,0,0,0,0
brain cancer <> cyclophosphamide,0,1,2,1,1,1,0,0,0,0
brain cancer <> doxorubicin,1,2,1,3,2,2,0,2,1,0
brain cancer <> etoposide,0,1,2,3,2,3,0,1,2,0
brain cancer <> flucytosine,1,2,4,2,2,2,0,1,2,0
brain cancer <> ganciclovir,1,1,0,1,1,1,0,0,0,0
brain cancer <> human epidermal growth factor receptor 2,0,1,0,1,1,1,0,0,1,0
brain cancer <> interferon gamma,0,1,2,2,1,2,0,0,2,0
brain cancer <> interleukin-2,1,2,2,2,1,4,0,1,1,0
brain cancer <> iodine radioisotopes,0,1,2,1,1,1,0,0,1,0
brain cancer <> lapatinib,0,1,0,1,1,1,0,0,1,0
brain cancer <> lithium,1,1,1,2,1,1,0,0,1,0
brain cancer <> methotrexate,1,2,3,2,3,3,0,1,2,0
brain cancer <> pioglitazone,0,1,1,3,1,1,0,1,1,0
brain cancer <> trastuzumab,0,1,0,4,1,1,0,1,1,0
brain cancer <> vincristine,0,1,1,2,1,2,0,1,1,0
brain cancer <> vorinostat,0,0,0,3,1,1,0,0,1,0
brain death <> norepinephrine,0,1,1,3,1,1,0,0,1,0
"brain edema <> agents, iron chelating",1,2,1,2,2,2,0,0,0,0
brain edema <> alteplase,1,3,2,4,2,5,3,3,4,0
brain edema <> deferoxamine,1,2,2,4,4,4,0,1,2,0
brain edema <> diphenhydramine,0,1,1,0,1,1,0,0,1,0
brain edema <> furosemide,1,2,2,3,1,2,1,1,1,0
brain edema <> glyburide,1,2,3,5,5,18,12,10,12,0
brain edema <> hetastarch,1,2,2,4,3,3,0,2,2,0
brain edema <> phenylephrine,0,1,1,4,3,4,1,2,3,0
brain glioblastoma <> bleomycin,0,1,1,0,1,1,0,0,0,0
brain glioblastoma <> cpt 11,1,1,1,3,1,1,0,1,0,0
brain glioblastoma <> cyclophosphamide,0,2,3,4,1,3,0,0,1,0
brain glioblastoma <> interferon gamma,0,1,2,2,1,1,0,1,0,0
brain glioblastoma <> interleukin-2,1,1,1,1,1,1,0,0,1,0
brain glioblastoma <> irinotecan,1,1,1,3,1,1,0,1,0,0
brain glioblastoma <> irinotecan hydrochloride,1,1,1,3,1,1,0,1,0,0
brain glioma <> carboplatin,1,1,1,3,1,1,0,0,0,0
brain glioma <> ganciclovir,0,1,1,2,1,1,0,0,1,0
brain glioma <> temozolomide,1,3,10,5,5,14,0,5,8,0
brain hypoxia - ischemia <> glucagon-like peptide 1 receptor agonist,0,1,1,2,1,1,0,0,1,0
brain hypoxia - ischemia <> resveratrol,1,2,3,4,3,3,1,1,2,0
brain infarction <> albumin,0,2,4,5,1,4,0,2,4,0
brain infarction <> argipressin,0,1,0,2,1,1,0,0,1,0
brain infarction <> citicoline,1,2,4,4,8,20,4,7,14,0
brain infarction <> cyclosporine,0,2,7,3,3,12,5,1,7,0
brain infarction <> desflurane,0,1,2,4,4,4,2,1,3,0
brain infarction <> dexmedetomidine,1,1,2,4,3,7,2,5,5,0
brain infarction <> epoprostenol,0,2,1,4,3,3,0,0,0,0
brain infarction <> eptifibatide,0,1,0,3,1,1,0,0,1,0
brain infarction <> fluoxetine,0,2,3,4,5,8,4,4,8,0
brain infarction <> ginaton,0,1,1,1,1,1,0,1,1,0
"brain infarction <> oxide, nitric",1,4,4,4,6,7,3,2,5,0
brain infarction <> phenylephrine,0,0,0,3,1,1,0,1,1,0
brain infarction <> propofol,1,3,7,5,9,36,14,19,31,0
brain infarction <> sevoflurane,0,2,2,5,7,20,10,14,18,0
brain infarction <> tenecteplase,0,1,1,2,1,1,0,0,1,0
brain infarction <> thrombolytic,1,1,1,2,1,1,0,0,0,0
brain infarction <> valproate,0,1,2,4,2,4,3,1,4,0
brain infarction <> valproic acid,0,1,2,4,2,3,3,1,3,0
brain infarction <> vasopressin (usp),0,1,0,2,1,1,0,0,1,0
brain injury <> amitriptyline,1,1,1,2,1,1,0,0,0,0
brain injury <> citicoline,0,1,1,3,1,1,0,0,1,0
